Name,Team,espn_id,H,AVG,HR,TB,BB,R,RBI,SB
Bo Bichette,NYM,38904,172.0,0.292,17.0,263.0,37.0,73.0,85.0,6.0
Bryce Harper,PHI,30951,142.0,0.272,26.0,255.0,76.0,80.0,80.0,13.0
Matt Chapman,SF,33857,118.0,0.238,22.0,217.0,68.0,80.0,65.0,10.0
Tyler Soderstrom,OAK,4686066,150.0,0.261,25.0,260.0,57.0,71.0,88.0,8.0
Agustin Ramirez,MIA,5132014,130.0,0.247,20.0,225.0,43.0,75.0,71.0,17.0
Yandy Diaz,TB,33481,160.0,0.281,19.0,252.0,54.0,74.0,76.0,2.0
Brendan Donovan,SEA,41773,135.0,0.284,11.0,199.0,44.0,63.0,54.0,4.0
Bryan Reynolds,PIT,38980,157.0,0.26,21.0,260.0,58.0,72.0,79.0,4.0
Caleb Durbin,BOS,5007615,119.0,0.257,11.0,180.0,39.0,64.0,54.0,21.0
Willy Adames,SF,33675,131.0,0.227,28.0,243.0,75.0,86.0,89.0,12.0
Byron Buxton,MIN,32655,119.0,0.252,31.0,246.0,37.0,85.0,72.0,21.0
Marcus Semien,NYM,32146,104.0,0.232,16.0,169.0,47.0,64.0,56.0,9.0
Michael Harris II,ATL,42470,164.0,0.267,22.0,269.0,22.0,68.0,81.0,22.0
Andy Pages,LAD,42468,146.0,0.261,22.0,242.0,36.0,78.0,79.0,13.0
Jeremy Pena,HOU,41273,159.0,0.281,17.0,246.0,38.0,79.0,68.0,21.0
Oneil Cruz,PIT,39712,116.0,0.226,22.0,211.0,67.0,68.0,68.0,32.0
Hunter Goodman,COL,4416591,136.0,0.253,31.0,268.0,38.0,64.0,87.0,1.0
Alejandro Kirk,TOR,42081,121.0,0.274,12.0,177.0,47.0,41.0,70.0,1.0
Jakob Marsee,MIA,4866735,131.0,0.244,13.0,207.0,83.0,73.0,60.0,41.0
Daylen Lile,WSH,4917889,143.0,0.272,13.0,237.0,35.0,66.0,60.0,14.0
Jacob Wilson,OAK,4719300,163.0,0.302,10.0,228.0,31.0,71.0,66.0,5.0
Jung Hoo Lee,SF,5134621,150.0,0.269,8.0,219.0,42.0,70.0,51.0,10.0
