,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
22,Freddy Peralta,MIL,0.411,,,,,,,,,,,,,,,,,PIT,PIT,1.473,0.903,2.175,0.486,-0.547,-0.356,0.921,0.601,204.0,17.2,17.0,6.0,0.0,0.0,2.7,1.08,41,47.0,23.0
23,Manny Machado,SDP,0.395,1.271,0.62,0.208,0.836,0.876,-0.031,0.032,0.677,169.0,91.0,27.0,283.0,95.0,55.0,14.0,0.275,BAT,BAT,,,,,,,,,,,,,,,,,23,28.0,33.0
24,Brent Rooker,ATH,0.391,1.051,0.677,0.531,1.232,0.521,0.412,-0.677,0.119,164.0,92.0,30.0,300.0,89.0,65.0,6.0,0.262,BAT,BAT,,,,,,,,,,,,,,,,,39,44.0,24.0
25,Carlos Rodon,NYY,0.389,,,,,,,,,,,,,,,,,PIT,PIT,1.452,0.903,2.438,-0.384,-0.547,-0.356,0.526,0.779,203.0,17.2,18.0,9.0,0.0,0.0,3.09,1.05,216,160.0,0.0
26,Vinnie Pasquantino,KCR,0.385,1.051,-0.462,0.747,1.115,1.939,-0.298,-1.121,0.205,164.0,72.0,32.0,295.0,113.0,49.0,1.0,0.264,BAT,BAT,,,,,,,,,,,,,,,,,85,50.0,9.0
27,Cody Bellinger,NYY,0.383,0.874,0.506,0.424,0.812,1.053,0.057,-0.057,0.548,160.0,89.0,29.0,282.0,98.0,57.0,13.0,0.272,BAT,BAT,,,,,,,,,,,,,,,,,44,66.0,21.0
28,Bryan Woo,SEA,0.382,,,,,,,,,,,,,,,,,PIT,PIT,1.346,0.67,1.649,0.196,-0.547,-0.356,0.678,1.492,198.0,15.6,15.0,7.0,0.0,0.0,2.94,0.93,20,41.0,35.0
29,James Wood,WSN,0.379,0.565,0.392,0.639,0.859,0.817,1.3,0.12,-0.138,153.0,87.0,31.0,284.0,94.0,85.0,15.0,0.256,BAT,BAT,,,,,,,,,,,,,,,,,89,35.0,9.0
30,Fernando Tatis Jr.,SDP,0.376,0.83,1.759,-0.007,0.416,-0.542,1.478,1.627,0.377,159.0,111.0,25.0,265.0,71.0,89.0,32.0,0.268,BAT,BAT,,,,,,,,,,,,,,,,,14,13.0,39.0
31,Cristopher Sanchez,PHI,0.37,,,,,,,,,,,,,,,,,PIT,PIT,1.643,0.816,1.122,0.776,-0.547,-0.356,1.123,0.72,212.0,16.6,13.0,5.0,0.0,0.0,2.5,1.06,12,23.0,40.0
32,Pete Crow-Armstrong,CHC,0.365,0.256,0.62,0.639,0.859,0.876,-1.185,1.893,-0.524,146.0,91.0,31.0,284.0,95.0,29.0,35.0,0.247,BAT,BAT,,,,,,,,,,,,,,,,,71,54.0,12.0
33,Paul Skenes,PIT,0.343,,,,,,,,,,,,,,,,,PIT,PIT,1.727,0.816,0.333,-0.674,-0.547,-0.356,1.66,1.373,216.0,16.6,10.0,10.0,0.0,0.0,1.97,0.95,4,11.0,72.0
34,Nick Pivetta,SDP,0.337,,,,,,,,,,,,,,,,,PIT,PIT,1.177,0.743,1.122,0.776,-0.547,-0.356,0.749,1.136,190.0,16.1,13.0,5.0,0.0,0.0,2.87,0.99,56,90.0,16.0
35,Vladimir Guerrero Jr.,TOR,0.334,1.404,0.905,-0.223,0.649,0.226,1.123,-0.677,1.406,172.0,96.0,23.0,275.0,84.0,81.0,6.0,0.292,BAT,BAT,,,,,,,,,,,,,,,,,26,24.0,31.0
36,Christian Yelich,MIL,0.324,0.477,0.449,0.424,0.276,1.348,0.368,0.209,0.205,151.0,88.0,29.0,259.0,103.0,64.0,16.0,0.264,BAT,BAT,,,,,,,,,,,,,,,,,68,74.0,13.0
37,Yoshinobu Yamamoto,LAD,0.324,,,,,,,,,,,,,,,,,PIT,PIT,1.41,0.67,0.859,-0.094,-0.547,-0.356,1.133,1.136,201.0,15.6,12.0,8.0,0.0,0.0,2.49,0.99,19,22.0,35.0
38,Trevor Story,BOS,0.319,0.918,0.62,-0.007,0.416,0.935,-1.008,1.539,0.162,161.0,91.0,25.0,265.0,96.0,33.0,31.0,0.263,BAT,BAT,,,,,,,,,,,,,,,,,263,76.0,0.0
39,Hunter Brown,HOU,0.315,,,,,,,,,,,,,,,,,PIT,PIT,1.516,0.743,0.859,-0.384,-0.547,-0.356,1.194,0.898,206.0,16.1,12.0,9.0,0.0,0.0,2.43,1.03,24,25.0,32.0
40,Nathan Eovaldi,TEX,0.304,,,,,,,,,,,,,,,,,PIT,PIT,-0.115,0.058,0.596,1.356,-0.547,-0.356,1.903,1.967,129.0,11.4,11.0,3.0,0.0,0.0,1.73,0.85,72,127.0,12.0
41,Jacob deGrom,TEX,0.298,,,,,,,,,,,,,,,,,PIT,PIT,1.071,0.67,0.859,-0.094,-0.547,-0.356,0.647,1.551,185.0,15.6,12.0,8.0,0.0,0.0,2.97,0.92,34,38.0,27.0
42,Zack Wheeler,PHI,0.284,,,,,,,,,,,,,,,,,PIT,PIT,1.283,0.219,0.333,0.776,-0.547,-0.356,0.911,1.433,195.0,12.5,10.0,5.0,0.0,0.0,2.71,0.94,66,93.0,13.0
43,Taylor Ward,LAA,0.282,-0.362,0.336,1.177,0.649,1.348,0.856,-0.855,-1.339,132.0,86.0,36.0,275.0,103.0,75.0,4.0,0.228,BAT,BAT,,,,,,,,,,,,,,,,,83,166.0,9.0
44,Byron Buxton,MIN,0.271,-0.495,0.962,1.07,0.509,0.167,-0.653,0.918,0.205,129.0,97.0,35.0,269.0,83.0,41.0,24.0,0.264,BAT,BAT,,,,,,,,,,,,,,,,,132,62.0,3.0
45,Logan Webb,SFG,0.271,,,,,,,,,,,,,,,,,PIT,PIT,1.897,0.976,1.649,-0.964,-0.547,-0.356,0.394,-0.349,224.0,17.7,15.0,11.0,0.0,0.0,3.22,1.24,22,39.0,33.0
46,Jesus Luzardo,PHI,0.254,,,,,,,,,,,,,,,,,PIT,PIT,1.727,0.816,1.649,0.196,-0.547,-0.356,-0.315,-0.23,216.0,16.6,15.0,7.0,0.0,0.0,3.92,1.22,33,82.0,27.0
47,Freddie Freeman,LAD,0.249,1.051,0.051,-0.115,0.742,0.58,0.19,-0.677,1.535,164.0,81.0,24.0,279.0,90.0,60.0,6.0,0.295,BAT,BAT,,,,,,,,,,,,,,,,,101,43.0,6.0
